タイムスタンプ,メールアドレス,性別,学年,次のスマートフォンについてどれくらい購入したいですか。価格:6万円 OS:Android カメラ:standard,次のスマートフォンについてどれくらい購入したいですか。価格:10万円 OS:Apple カメラ:standard,次のスマートフォンについてどれくらい購入したいですか。価格:6万円 OS:Apple カメラ:high,次のスマートフォンについてどれくらい購入したいですか。価格:10万円 OS:Android カメラ:high
2026/05/02 10:01:00,student01@example.com,女性,3,3,3,7,2
2026/05/03 11:02:00,student02@example.com,女性,3,5,3,7,2
2026/05/04 12:03:00,student03@example.com,男性,2,4,3,7,3
2026/05/05 13:04:00,student04@example.com,女性,4,3,2,7,3
2026/05/06 14:05:00,student05@example.com,女性,3,5,3,7,2
2026/05/07 15:06:00,student06@example.com,女性,3,4,3,7,2
2026/05/08 16:07:00,student07@example.com,男性,3,4,3,7,2
2026/05/09 09:08:00,student08@example.com,女性,4,4,3,7,1
2026/05/10 10:09:00,student09@example.com,女性,1,3,2,7,2
2026/05/11 11:10:00,student10@example.com,男性,1,3,3,6,2
2026/05/12 12:11:00,student11@example.com,女性,1,4,3,7,3
2026/05/13 13:12:00,student12@example.com,女性,3,3,3,7,1
2026/05/14 14:13:00,student13@example.com,男性,1,3,2,7,2
2026/05/15 15:14:00,student14@example.com,男性,2,3,3,7,2
2026/05/16 16:15:00,student15@example.com,女性,3,4,2,7,2
2026/05/17 09:16:00,student16@example.com,男性,4,4,2,7,3
2026/05/18 10:17:00,student17@example.com,男性,3,4,3,7,2
2026/05/19 11:18:00,student18@example.com,男性,3,2,2,6,2
2026/05/20 12:19:00,student19@example.com,女性,3,4,2,7,3
2026/05/21 13:20:00,student20@example.com,女性,2,4,2,7,2
2026/05/22 14:21:00,student21@example.com,男性,4,3,3,6,3
2026/05/23 15:22:00,student22@example.com,男性,4,3,2,7,2
2026/05/24 16:23:00,student23@example.com,男性,3,4,3,7,2
2026/05/25 09:24:00,student24@example.com,女性,3,4,3,7,3
2026/05/26 10:25:00,student25@example.com,男性,1,4,4,6,2
2026/05/27 11:26:00,student26@example.com,男性,2,3,2,7,2
2026/05/28 12:27:00,student27@example.com,女性,4,3,2,7,3
2026/05/01 13:28:00,student28@example.com,男性,2,6,3,7,1
2026/05/02 14:29:00,student29@example.com,男性,2,4,2,7,2
2026/05/03 15:30:00,student30@example.com,男性,2,5,3,7,1
